line_number	reason	raw_line
85164	empty_field	he		IA-IA	2PS
85165	empty_field	habed		IA-IA	2PP
85166	empty_field	hayas		IN-IN	2PS
85167	empty_field	hayamos		IN-IN	1PP
85168	empty_field	hayáis		IN-IN	2PP
102241	empty_field	ocurro		PI-PI	1PS
102242	empty_field	ocurres		PI-PI	2PS
102244	empty_field	ocurrimos		PI-PI	1PP
102245	empty_field	ocurrís		PI-PI	2PP
102247	empty_field	ocurría		II-II	1PS
102248	empty_field	ocurrías		II-II	2PS
102250	empty_field	ocurríamos		II-II	1PP
102251	empty_field	ocurríais		II-II	2PP
102253	empty_field	ocurrí		EI-EI	1PS
102254	empty_field	ocurriste		EI-EI	2PS
102256	empty_field	ocurrimos		EI-EI	1PP
102257	empty_field	ocurristeis		EI-EI	2PP
102259	empty_field	ocurriré		FI-FI	1PS
102260	empty_field	ocurrirás		FI-FI	2PS
102262	empty_field	ocurriremos		FI-FI	1PP
102263	empty_field	ocurriréis		FI-FI	2PP
102265	empty_field	ocurriría		TI-TI	1PS
102266	empty_field	ocurrirías		TI-TI	2PS
102268	empty_field	ocurriríamos		TI-TI	1PP
102269	empty_field	ocurriríais		TI-TI	2PP
102271	empty_field	he ocurrido		PPI-EI	1PS
102272	empty_field	has ocurrido		PPI-EI	2PS
102274	empty_field	hemos ocurrido		PPI-EI	1PP
102275	empty_field	habéis ocurrido		PPI-EI	2PP
102277	empty_field	había ocurrido		IPI-MI	1PS
102278	empty_field	habías ocurrido		IPI-MI	2PS
102280	empty_field	habíamos ocurrido		IPI-MI	1PP
102281	empty_field	habíais ocurrido		IPI-MI	2PP
102283	empty_field	hube ocurrido		EPI-EI	1PS
102284	empty_field	hubiste ocurrido		EPI-EI	2PS
102286	empty_field	hubimos ocurrido		EPI-EI	1PP
102287	empty_field	hubisteis ocurrido		EPI-EI	2PP
102289	empty_field	ocurra		PS-PS	1PS
102290	empty_field	ocurras		PS-PS	2PS
102292	empty_field	ocurramos		PS-PS	1PP
102293	empty_field	ocurráis		PS-PS	2PP
102295	empty_field	ocurriera		IS-IS	1PS
102296	empty_field	ocurriese		IS-IS	1PS
102297	empty_field	ocurrieras		IS-IS	2PS
102298	empty_field	ocurrieses		IS-IS	2PS
102301	empty_field	ocurriéramos		IS-IS	1PP
102302	empty_field	ocurriésemos		IS-IS	1PP
102303	empty_field	ocurrierais		IS-IS	2PP
102304	empty_field	ocurrieseis		IS-IS	2PP
102307	empty_field	ocurriere		FS-FS	1PS
102308	empty_field	ocurrieres		FS-FS	2PS
102310	empty_field	ocurriéremos		FS-FS	1PP
102311	empty_field	ocurriereis		FS-FS	2PP
102316	empty_field	ocurrir		FN-IP	1PS
102317	empty_field	ocurrir		FN-IP	2PS
102319	empty_field	ocurrir		FN-IP	1PP
102320	empty_field	ocurrir		FN-IP	2PP
102322	empty_field	ocurrir		FN(Inf)-IP	1PS
102323	empty_field	ocurrir		FN(Inf)-IP	2PS
102325	empty_field	ocurrir		FN(Inf)-IP	1PP
102326	empty_field	ocurrir		FN(Inf)-IP	2PP
169000	empty_field			PI-PI	1PS
169001	empty_field			PI-PI	2PS
169003	empty_field			PI-PI	1PP
169004	empty_field			PI-PI	2PP
169006	empty_field	acontecía		II-II	1PS
169007	empty_field			II-II	2PS
169009	empty_field			II-II	1PP
169010	empty_field			II-II	2PP
169012	empty_field			EI-EI	1PS
169013	empty_field			EI-EI	2PS
169015	empty_field			EI-EI	1PP
169016	empty_field			EI-EI	2PP
169018	empty_field			FI-FI	1PS
169019	empty_field			FI-FI	2PS
169021	empty_field			FI-FI	1PP
169022	empty_field			FI-FI	2PP
169024	empty_field	acontecería		TI-TI	1PS
169025	empty_field			TI-TI	2PS
169027	empty_field			TI-TI	1PP
169028	empty_field			TI-TI	2PP
169030	empty_field	he acontecido		PPI-EI	1PS
169031	empty_field	has acontecido		PPI-EI	2PS
169033	empty_field	hemos acontecido		PPI-EI	1PP
169034	empty_field	habéis acontecido		PPI-EI	2PP
169036	empty_field	había acontecido		IPI-MI	1PS
169037	empty_field	habías acontecido		IPI-MI	2PS
169039	empty_field	habíamos acontecido		IPI-MI	1PP
169040	empty_field	habíais acontecido		IPI-MI	2PP
169042	empty_field	hube acontecido		EPI-EI	1PS
169043	empty_field	hubiste acontecido		EPI-EI	2PS
169045	empty_field	hubimos acontecido		EPI-EI	1PP
169046	empty_field	hubisteis acontecido		EPI-EI	2PP
169048	empty_field	acontezca		PS-PS	1PS
169049	empty_field			PS-PS	2PS
169051	empty_field			PS-PS	1PP
169052	empty_field			PS-PS	2PP
169054	empty_field	aconteciera		IS-IS	1PS
169055	empty_field	aconteciese		IS-IS	1PS
169056	empty_field			IS-IS	2PS
169059	empty_field			IS-IS	1PP
169060	empty_field			IS-IS	2PP
169063	empty_field	aconteciere		FS-FS	1PS
169064	empty_field			FS-FS	2PS
169066	empty_field			FS-FS	1PP
169067	empty_field			FS-FS	2PP
169072	empty_field	acontecer		FN-IP	1PS
169073	empty_field	acontecer		FN-IP	2PS
169075	empty_field	acontecer		FN-IP	1PP
169076	empty_field	acontecer		FN-IP	2PP
169078	empty_field	acontecer		FN(Inf)-IP	1PS
169079	empty_field	acontecer		FN(Inf)-IP	2PS
169081	empty_field	acontecer		FN(Inf)-IP	1PP
169082	empty_field	acontecer		FN(Inf)-IP	2PP
174538	empty_field			PI-PI	1PS
174539	empty_field			PI-PI	2PS
174541	empty_field			PI-PI	1PP
174542	empty_field			PI-PI	2PP
174544	empty_field			II-II	1PS
174545	empty_field			II-II	2PS
174547	empty_field			II-II	1PP
174548	empty_field			II-II	2PP
174550	empty_field			EI-EI	1PS
174551	empty_field			EI-EI	2PS
174553	empty_field			EI-EI	1PP
174554	empty_field			EI-EI	2PP
174556	empty_field			FI-FI	1PS
174557	empty_field			FI-FI	2PS
174559	empty_field			FI-FI	1PP
174560	empty_field			FI-FI	2PP
174562	empty_field			TI-TI	1PS
174563	empty_field			TI-TI	2PS
174565	empty_field			TI-TI	1PP
174566	empty_field			TI-TI	2PP
174568	empty_field	he competido		PPI-EI	1PS
174569	empty_field	has competido		PPI-EI	2PS
174571	empty_field	hemos competido		PPI-EI	1PP
174572	empty_field	habéis competido		PPI-EI	2PP
174574	empty_field	había competido		IPI-MI	1PS
174575	empty_field	habías competido		IPI-MI	2PS
